,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
273,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,549.7999877929688,1.0,12.95291450892617,1.0,13.045000076293945,1.0,35.356508161579555,1.0,35.189998626708984,1.0,211.20643615722656,1.0,9.470273971557617,1.0,7.968218803405762,1.0,130.32278936128296
299,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,601.7999877929688,1.0,12.376730028228186,1.0,12.472000122070312,1.0,35.28120331976641,1.0,35.1150016784668,1.0,215.59677124023438,1.0,10.448567390441895,1.0,7.965999603271484,1.0,130.32278936128296
323,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,649.7999877929688,1.0,11.8898067078964,1.0,11.98799991607666,1.0,35.21496451103861,1.0,35.04899978637695,1.0,214.56837463378906,1.0,11.565201759338379,1.0,7.959652423858643,1.0,130.32278936128296
348,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,699.7999877929688,1.0,11.325641565070015,1.0,11.425999641418457,1.0,35.13165227902071,1.0,34.965999603271484,1.0,216.5178985595703,1.0,12.721010208129883,1.0,7.954972743988037,1.0,130.32278936128296
373,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,749.7999877929688,1.0,10.783480159144537,1.0,10.88599967956543,1.0,35.05743812585144,1.0,34.891998291015625,1.0,214.6774139404297,1.0,14.028138160705566,1.0,7.946859359741211,1.0,130.32278936128296
399,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,801.7999877929688,1.0,10.284957406673257,1.0,10.390000343322754,1.0,34.99125843483114,1.0,34.82600021362305,1.0,214.21803283691406,1.0,15.44128704071045,1.0,7.9403462409973145,1.0,130.32278936128296
423,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,849.7999877929688,1.0,9.714776588165758,1.0,9.821000099182129,1.0,34.92010122883944,1.0,34.755001068115234,1.0,211.9198760986328,1.0,17.00528335571289,1.0,7.9304914474487305,1.0,130.32278936128296
449,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,901.7999877929688,1.0,8.97278567831365,1.0,9.079000473022461,1.0,34.83791241407795,1.0,34.67300033569336,1.0,206.86355590820312,1.0,19.356327056884766,1.0,7.9156084060668945,1.0,130.32278936128296
474,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,951.7999877929688,1.0,8.137129537186675,1.0,8.241999626159668,1.0,34.75773764480893,1.0,34.59299850463867,1.0,202.72557067871094,1.0,21.904939651489258,1.0,7.9002532958984375,1.0,130.32278936128296
488,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,998.8999633789062,1.0,7.45948730887746,1.0,7.563700199127197,1.0,34.69966020579478,1.0,34.53499984741211,1.0,199.5172119140625,1.0,23.9506778717041,1.0,7.892883777618408,1.0,130.32278936128296
489,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1048.7000732421875,1.0,6.713929893661102,1.0,6.816800117492676,1.0,34.641646728740284,1.0,34.47700119018555,1.0,199.2976837158203,1.0,25.745407104492188,1.0,7.884486675262451,1.0,130.32278936128296
490,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1099.800048828125,1.0,6.052261834780727,1.0,6.154300212860107,1.0,34.596704788820524,1.0,34.43199920654297,1.0,199.1050567626953,1.0,27.375194549560547,1.0,7.876093864440918,1.0,130.32278936128296
491,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1149.60009765625,1.0,5.570689071829171,1.0,5.6732001304626465,1.0,34.573902755051826,1.0,34.409000396728516,1.0,197.67623901367188,1.0,28.568450927734375,1.0,7.871079921722412,1.0,130.32278936128296
492,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1199.2000732421875,1.0,5.25083697859875,1.0,5.355299949645996,1.0,34.5751991792417,1.0,34.40999984741211,1.0,190.67196655273438,1.0,29.598838806152344,1.0,7.862427711486816,1.0,130.32278936128296
493,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1249.2000732421875,1.0,4.875893468140811,1.0,4.981900215148926,1.0,34.59961231694787,1.0,34.433998107910156,1.0,183.24578857421875,1.0,30.98626136779785,1.0,7.849425792694092,1.0,130.32278936128296
494,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1299.5,1.0,4.507552029719044,1.0,4.614500045776367,1.0,34.59289124731035,1.0,34.426998138427734,1.0,182.6593780517578,1.0,31.7307071685791,1.0,7.845428466796875,1.0,130.32278936128296
